max_x : 50821, max_y: 50750, min_x: -50472, min_y: -50499
max_x : 25936, max_y: 25865, min_x: -25587, min_y: -25614
max_x : 25931, max_y: 25860, min_x: -25582, min_y: -25609
max_x : 25926, max_y: 25855, min_x: -25577, min_y: -25604
max_x : 25921, max_y: 25850, min_x: -25572, min_y: -25599
max_x : 25916, max_y: 25845, min_x: -25567, min_y: -25594
max_x : 25911, max_y: 25840, min_x: -25562, min_y: -25589
max_x : 25906, max_y: 25835, min_x: -25557, min_y: -25584
max_x : 25901, max_y: 25830, min_x: -25552, min_y: -25579
max_x : 25896, max_y: 25825, min_x: -25547, min_y: -25574
max_x : 25891, max_y: 25820, min_x: -25542, min_y: -25569
max_x : 25886, max_y: 25815, min_x: -25537, min_y: -25564
max_x : 25881, max_y: 25810, min_x: -25532, min_y: -25559
max_x : 25876, max_y: 25805, min_x: -25527, min_y: -25554
max_x : 25871, max_y: 25800, min_x: -25522, min_y: -25549
max_x : 25866, max_y: 25795, min_x: -25517, min_y: -25544
max_x : 25861, max_y: 25790, min_x: -25512, min_y: -25539
max_x : 25856, max_y: 25785, min_x: -25507, min_y: -25534
max_x : 25851, max_y: 25780, min_x: -25502, min_y: -25529
max_x : 25846, max_y: 25775, min_x: -25497, min_y: -25524
max_x : 25841, max_y: 25770, min_x: -25492, min_y: -25519
max_x : 25836, max_y: 25765, min_x: -25487, min_y: -25514
max_x : 25831, max_y: 25760, min_x: -25482, min_y: -25509
max_x : 25826, max_y: 25755, min_x: -25477, min_y: -25504
max_x : 25821, max_y: 25750, min_x: -25472, min_y: -25499
max_x : 25816, max_y: 25745, min_x: -25467, min_y: -25494
max_x : 25811, max_y: 25740, min_x: -25462, min_y: -25489
max_x : 25806, max_y: 25735, min_x: -25457, min_y: -25484
max_x : 25801, max_y: 25730, min_x: -25452, min_y: -25479
max_x : 25796, max_y: 25725, min_x: -25447, min_y: -25474
max_x : 25791, max_y: 25720, min_x: -25442, min_y: -25469
max_x : 25786, max_y: 25715, min_x: -25437, min_y: -25464
max_x : 25781, max_y: 25710, min_x: -25432, min_y: -25459
max_x : 25776, max_y: 25705, min_x: -25427, min_y: -25454
max_x : 25771, max_y: 25700, min_x: -25422, min_y: -25449
max_x : 25766, max_y: 25695, min_x: -25417, min_y: -25444
max_x : 25761, max_y: 25690, min_x: -25412, min_y: -25439
max_x : 25756, max_y: 25685, min_x: -25407, min_y: -25434
max_x : 25751, max_y: 25680, min_x: -25402, min_y: -25429
max_x : 25746, max_y: 25675, min_x: -25397, min_y: -25424
max_x : 25741, max_y: 25670, min_x: -25392, min_y: -25419
max_x : 25736, max_y: 25665, min_x: -25387, min_y: -25414
max_x : 25731, max_y: 25660, min_x: -25382, min_y: -25409
max_x : 25726, max_y: 25655, min_x: -25377, min_y: -25404
max_x : 25721, max_y: 25650, min_x: -25372, min_y: -25399
max_x : 25716, max_y: 25645, min_x: -25367, min_y: -25394
max_x : 25711, max_y: 25640, min_x: -25362, min_y: -25389
max_x : 25706, max_y: 25635, min_x: -25357, min_y: -25384
max_x : 25701, max_y: 25630, min_x: -25352, min_y: -25379
max_x : 25696, max_y: 25625, min_x: -25347, min_y: -25374
max_x : 25691, max_y: 25620, min_x: -25342, min_y: -25369
max_x : 25686, max_y: 25615, min_x: -25337, min_y: -25364
max_x : 25681, max_y: 25610, min_x: -25332, min_y: -25359
max_x : 25676, max_y: 25605, min_x: -25327, min_y: -25354
max_x : 25671, max_y: 25600, min_x: -25322, min_y: -25349
max_x : 25666, max_y: 25595, min_x: -25317, min_y: -25344
max_x : 25661, max_y: 25590, min_x: -25312, min_y: -25339
max_x : 25656, max_y: 25585, min_x: -25307, min_y: -25334
max_x : 25651, max_y: 25580, min_x: -25302, min_y: -25329
max_x : 25646, max_y: 25575, min_x: -25297, min_y: -25324
max_x : 25641, max_y: 25570, min_x: -25292, min_y: -25319
max_x : 25636, max_y: 25565, min_x: -25287, min_y: -25314
max_x : 25631, max_y: 25560, min_x: -25282, min_y: -25309
max_x : 25626, max_y: 25555, min_x: -25277, min_y: -25304
max_x : 25621, max_y: 25550, min_x: -25272, min_y: -25299
max_x : 25616, max_y: 25545, min_x: -25267, min_y: -25294
max_x : 25611, max_y: 25540, min_x: -25262, min_y: -25289
max_x : 25606, max_y: 25535, min_x: -25257, min_y: -25284
max_x : 25601, max_y: 25530, min_x: -25252, min_y: -25279
max_x : 25596, max_y: 25525, min_x: -25247, min_y: -25274
max_x : 25591, max_y: 25520, min_x: -25242, min_y: -25269
max_x : 25586, max_y: 25515, min_x: -25237, min_y: -25264
max_x : 25581, max_y: 25510, min_x: -25232, min_y: -25259
max_x : 25576, max_y: 25505, min_x: -25227, min_y: -25254
max_x : 25571, max_y: 25500, min_x: -25222, min_y: -25249
max_x : 25566, max_y: 25495, min_x: -25217, min_y: -25244
max_x : 25561, max_y: 25490, min_x: -25212, min_y: -25239
max_x : 25556, max_y: 25485, min_x: -25207, min_y: -25234
max_x : 25551, max_y: 25480, min_x: -25202, min_y: -25229
max_x : 25546, max_y: 25475, min_x: -25197, min_y: -25224
max_x : 25541, max_y: 25470, min_x: -25192, min_y: -25219
max_x : 25536, max_y: 25465, min_x: -25187, min_y: -25214
max_x : 25531, max_y: 25460, min_x: -25182, min_y: -25209
max_x : 25526, max_y: 25455, min_x: -25177, min_y: -25204
max_x : 25521, max_y: 25450, min_x: -25172, min_y: -25199
max_x : 25516, max_y: 25445, min_x: -25167, min_y: -25194
max_x : 25511, max_y: 25440, min_x: -25162, min_y: -25189
max_x : 25506, max_y: 25435, min_x: -25157, min_y: -25184
max_x : 25501, max_y: 25430, min_x: -25152, min_y: -25179
max_x : 25496, max_y: 25425, min_x: -25147, min_y: -25174
max_x : 25491, max_y: 25420, min_x: -25142, min_y: -25169
max_x : 25486, max_y: 25415, min_x: -25137, min_y: -25164
max_x : 25481, max_y: 25410, min_x: -25132, min_y: -25159
max_x : 25476, max_y: 25405, min_x: -25127, min_y: -25154
max_x : 25471, max_y: 25400, min_x: -25122, min_y: -25149
max_x : 25466, max_y: 25395, min_x: -25117, min_y: -25144
max_x : 25461, max_y: 25390, min_x: -25112, min_y: -25139
max_x : 25456, max_y: 25385, min_x: -25107, min_y: -25134
max_x : 25451, max_y: 25380, min_x: -25102, min_y: -25129
max_x : 25446, max_y: 25375, min_x: -25097, min_y: -25124
max_x : 25441, max_y: 25370, min_x: -25092, min_y: -25119
max_x : 25436, max_y: 25365, min_x: -25087, min_y: -25114
max_x : 25431, max_y: 25360, min_x: -25082, min_y: -25109
max_x : 25426, max_y: 25355, min_x: -25077, min_y: -25104
max_x : 25421, max_y: 25350, min_x: -25072, min_y: -25099
max_x : 25416, max_y: 25345, min_x: -25067, min_y: -25094
max_x : 25411, max_y: 25340, min_x: -25062, min_y: -25089
max_x : 25406, max_y: 25335, min_x: -25057, min_y: -25084
max_x : 25401, max_y: 25330, min_x: -25052, min_y: -25079
max_x : 25396, max_y: 25325, min_x: -25047, min_y: -25074
max_x : 25391, max_y: 25320, min_x: -25042, min_y: -25069
max_x : 25386, max_y: 25315, min_x: -25037, min_y: -25064
max_x : 25381, max_y: 25310, min_x: -25032, min_y: -25059
max_x : 25376, max_y: 25305, min_x: -25027, min_y: -25054
max_x : 25371, max_y: 25300, min_x: -25022, min_y: -25049
max_x : 25366, max_y: 25295, min_x: -25017, min_y: -25044
max_x : 25361, max_y: 25290, min_x: -25012, min_y: -25039
max_x : 25356, max_y: 25285, min_x: -25007, min_y: -25034
max_x : 25351, max_y: 25280, min_x: -25002, min_y: -25029
max_x : 25346, max_y: 25275, min_x: -24997, min_y: -25024
max_x : 25341, max_y: 25270, min_x: -24992, min_y: -25019
max_x : 25336, max_y: 25265, min_x: -24987, min_y: -25014
max_x : 25331, max_y: 25260, min_x: -24982, min_y: -25009
max_x : 25326, max_y: 25255, min_x: -24977, min_y: -25004
max_x : 25321, max_y: 25250, min_x: -24972, min_y: -24999
max_x : 25316, max_y: 25245, min_x: -24967, min_y: -24994
max_x : 25311, max_y: 25240, min_x: -24962, min_y: -24989
max_x : 25306, max_y: 25235, min_x: -24957, min_y: -24984
max_x : 25301, max_y: 25230, min_x: -24952, min_y: -24979
max_x : 25296, max_y: 25225, min_x: -24947, min_y: -24974
max_x : 25291, max_y: 25220, min_x: -24942, min_y: -24969
max_x : 25286, max_y: 25215, min_x: -24937, min_y: -24964
max_x : 25281, max_y: 25210, min_x: -24932, min_y: -24959
max_x : 25276, max_y: 25205, min_x: -24927, min_y: -24954
max_x : 25271, max_y: 25200, min_x: -24922, min_y: -24949
max_x : 25266, max_y: 25195, min_x: -24917, min_y: -24944
max_x : 25261, max_y: 25190, min_x: -24912, min_y: -24939
max_x : 25256, max_y: 25185, min_x: -24907, min_y: -24934
max_x : 25251, max_y: 25180, min_x: -24902, min_y: -24929
max_x : 25246, max_y: 25175, min_x: -24897, min_y: -24924
max_x : 25241, max_y: 25170, min_x: -24892, min_y: -24919
max_x : 25236, max_y: 25165, min_x: -24887, min_y: -24914
max_x : 25231, max_y: 25160, min_x: -24882, min_y: -24909
max_x : 25226, max_y: 25155, min_x: -24877, min_y: -24904
max_x : 25221, max_y: 25150, min_x: -24872, min_y: -24899
max_x : 25216, max_y: 25145, min_x: -24867, min_y: -24894
max_x : 25211, max_y: 25140, min_x: -24862, min_y: -24889
max_x : 25206, max_y: 25135, min_x: -24857, min_y: -24884
max_x : 25201, max_y: 25130, min_x: -24852, min_y: -24879
max_x : 25196, max_y: 25125, min_x: -24847, min_y: -24874
max_x : 25191, max_y: 25120, min_x: -24842, min_y: -24869
max_x : 25186, max_y: 25115, min_x: -24837, min_y: -24864
max_x : 25181, max_y: 25110, min_x: -24832, min_y: -24859
max_x : 25176, max_y: 25105, min_x: -24827, min_y: -24854
max_x : 25171, max_y: 25100, min_x: -24822, min_y: -24849
max_x : 25166, max_y: 25095, min_x: -24817, min_y: -24844
max_x : 25161, max_y: 25090, min_x: -24812, min_y: -24839
max_x : 25156, max_y: 25085, min_x: -24807, min_y: -24834
max_x : 25151, max_y: 25080, min_x: -24802, min_y: -24829
max_x : 25146, max_y: 25075, min_x: -24797, min_y: -24824
max_x : 25141, max_y: 25070, min_x: -24792, min_y: -24819
max_x : 25136, max_y: 25065, min_x: -24787, min_y: -24814
max_x : 25131, max_y: 25060, min_x: -24782, min_y: -24809
max_x : 25126, max_y: 25055, min_x: -24777, min_y: -24804
max_x : 25121, max_y: 25050, min_x: -24772, min_y: -24799
max_x : 25116, max_y: 25045, min_x: -24767, min_y: -24794
max_x : 25111, max_y: 25040, min_x: -24762, min_y: -24789
max_x : 25106, max_y: 25035, min_x: -24757, min_y: -24784
max_x : 25101, max_y: 25030, min_x: -24752, min_y: -24779
max_x : 25096, max_y: 25025, min_x: -24747, min_y: -24774
max_x : 25091, max_y: 25020, min_x: -24742, min_y: -24769
max_x : 25086, max_y: 25015, min_x: -24737, min_y: -24764
max_x : 25081, max_y: 25010, min_x: -24732, min_y: -24759
max_x : 25076, max_y: 25005, min_x: -24727, min_y: -24754
max_x : 25071, max_y: 25000, min_x: -24722, min_y: -24749
max_x : 25066, max_y: 24995, min_x: -24717, min_y: -24744
max_x : 25061, max_y: 24990, min_x: -24712, min_y: -24739
max_x : 25056, max_y: 24985, min_x: -24707, min_y: -24734
max_x : 25051, max_y: 24980, min_x: -24702, min_y: -24729
max_x : 25046, max_y: 24975, min_x: -24697, min_y: -24724
max_x : 25041, max_y: 24970, min_x: -24692, min_y: -24719
max_x : 25036, max_y: 24965, min_x: -24687, min_y: -24714
max_x : 25031, max_y: 24960, min_x: -24682, min_y: -24709
max_x : 25026, max_y: 24955, min_x: -24677, min_y: -24704
max_x : 25021, max_y: 24950, min_x: -24672, min_y: -24699
max_x : 25016, max_y: 24945, min_x: -24667, min_y: -24694
max_x : 25011, max_y: 24940, min_x: -24662, min_y: -24689
max_x : 25006, max_y: 24935, min_x: -24657, min_y: -24684
max_x : 25001, max_y: 24930, min_x: -24652, min_y: -24679
max_x : 24996, max_y: 24925, min_x: -24647, min_y: -24674
max_x : 24991, max_y: 24920, min_x: -24642, min_y: -24669
max_x : 24986, max_y: 24915, min_x: -24637, min_y: -24664
max_x : 24981, max_y: 24910, min_x: -24632, min_y: -24659
max_x : 24976, max_y: 24905, min_x: -24627, min_y: -24654
max_x : 24971, max_y: 24900, min_x: -24622, min_y: -24649
max_x : 24966, max_y: 24895, min_x: -24617, min_y: -24644
max_x : 24961, max_y: 24890, min_x: -24612, min_y: -24639
max_x : 24956, max_y: 24885, min_x: -24607, min_y: -24634
max_x : 24951, max_y: 24880, min_x: -24602, min_y: -24629
max_x : 24946, max_y: 24875, min_x: -24597, min_y: -24624
max_x : 24941, max_y: 24870, min_x: -24592, min_y: -24619
max_x : 24936, max_y: 24865, min_x: -24587, min_y: -24614
max_x : 24931, max_y: 24860, min_x: -24582, min_y: -24609
max_x : 24926, max_y: 24855, min_x: -24577, min_y: -24604
max_x : 24921, max_y: 24850, min_x: -24572, min_y: -24599
max_x : 24916, max_y: 24845, min_x: -24567, min_y: -24594
max_x : 24911, max_y: 24840, min_x: -24562, min_y: -24589
max_x : 24906, max_y: 24835, min_x: -24557, min_y: -24584
max_x : 24901, max_y: 24830, min_x: -24552, min_y: -24579
max_x : 24896, max_y: 24825, min_x: -24547, min_y: -24574
max_x : 24891, max_y: 24820, min_x: -24542, min_y: -24569
max_x : 24886, max_y: 24815, min_x: -24537, min_y: -24564
max_x : 24881, max_y: 24810, min_x: -24532, min_y: -24559
max_x : 24876, max_y: 24805, min_x: -24527, min_y: -24554
max_x : 24871, max_y: 24800, min_x: -24522, min_y: -24549
max_x : 24866, max_y: 24795, min_x: -24517, min_y: -24544
max_x : 24861, max_y: 24790, min_x: -24512, min_y: -24539
max_x : 24856, max_y: 24785, min_x: -24507, min_y: -24534
max_x : 24851, max_y: 24780, min_x: -24502, min_y: -24529
max_x : 24846, max_y: 24775, min_x: -24497, min_y: -24524
max_x : 24841, max_y: 24770, min_x: -24492, min_y: -24519
max_x : 24836, max_y: 24765, min_x: -24487, min_y: -24514
max_x : 24831, max_y: 24760, min_x: -24482, min_y: -24509
max_x : 24826, max_y: 24755, min_x: -24477, min_y: -24504
max_x : 24821, max_y: 24750, min_x: -24472, min_y: -24499
max_x : 24816, max_y: 24745, min_x: -24467, min_y: -24494
max_x : 24811, max_y: 24740, min_x: -24462, min_y: -24489
max_x : 24806, max_y: 24735, min_x: -24457, min_y: -24484
max_x : 24801, max_y: 24730, min_x: -24452, min_y: -24479
max_x : 24796, max_y: 24725, min_x: -24447, min_y: -24474
max_x : 24791, max_y: 24720, min_x: -24442, min_y: -24469
max_x : 24786, max_y: 24715, min_x: -24437, min_y: -24464
max_x : 24781, max_y: 24710, min_x: -24432, min_y: -24459
max_x : 24776, max_y: 24705, min_x: -24427, min_y: -24454
max_x : 24771, max_y: 24700, min_x: -24422, min_y: -24449
max_x : 24766, max_y: 24695, min_x: -24417, min_y: -24444
max_x : 24761, max_y: 24690, min_x: -24412, min_y: -24439
max_x : 24756, max_y: 24685, min_x: -24407, min_y: -24434
max_x : 24751, max_y: 24680, min_x: -24402, min_y: -24429
max_x : 24746, max_y: 24675, min_x: -24397, min_y: -24424
max_x : 24741, max_y: 24670, min_x: -24392, min_y: -24419
max_x : 24736, max_y: 24665, min_x: -24387, min_y: -24414
max_x : 24731, max_y: 24660, min_x: -24382, min_y: -24409
max_x : 24726, max_y: 24655, min_x: -24377, min_y: -24404
max_x : 24721, max_y: 24650, min_x: -24372, min_y: -24399
max_x : 24716, max_y: 24645, min_x: -24367, min_y: -24394
max_x : 24711, max_y: 24640, min_x: -24362, min_y: -24389
max_x : 24706, max_y: 24635, min_x: -24357, min_y: -24384
max_x : 24701, max_y: 24630, min_x: -24352, min_y: -24379
max_x : 24696, max_y: 24625, min_x: -24347, min_y: -24374
max_x : 24691, max_y: 24620, min_x: -24342, min_y: -24369
max_x : 24686, max_y: 24615, min_x: -24337, min_y: -24364
max_x : 24681, max_y: 24610, min_x: -24332, min_y: -24359
max_x : 24676, max_y: 24605, min_x: -24327, min_y: -24354
max_x : 24671, max_y: 24600, min_x: -24322, min_y: -24349
max_x : 24666, max_y: 24595, min_x: -24317, min_y: -24344
max_x : 24661, max_y: 24590, min_x: -24312, min_y: -24339
max_x : 24656, max_y: 24585, min_x: -24307, min_y: -24334
max_x : 24651, max_y: 24580, min_x: -24302, min_y: -24329
max_x : 24646, max_y: 24575, min_x: -24297, min_y: -24324
max_x : 24641, max_y: 24570, min_x: -24292, min_y: -24319
max_x : 24636, max_y: 24565, min_x: -24287, min_y: -24314
max_x : 24631, max_y: 24560, min_x: -24282, min_y: -24309
max_x : 24626, max_y: 24555, min_x: -24277, min_y: -24304
max_x : 24621, max_y: 24550, min_x: -24272, min_y: -24299
max_x : 24616, max_y: 24545, min_x: -24267, min_y: -24294
max_x : 24611, max_y: 24540, min_x: -24262, min_y: -24289
max_x : 24606, max_y: 24535, min_x: -24257, min_y: -24284
max_x : 24601, max_y: 24530, min_x: -24252, min_y: -24279
max_x : 24596, max_y: 24525, min_x: -24247, min_y: -24274
max_x : 24591, max_y: 24520, min_x: -24242, min_y: -24269
max_x : 24586, max_y: 24515, min_x: -24237, min_y: -24264
max_x : 24581, max_y: 24510, min_x: -24232, min_y: -24259
max_x : 24576, max_y: 24505, min_x: -24227, min_y: -24254
max_x : 24571, max_y: 24500, min_x: -24222, min_y: -24249
max_x : 24566, max_y: 24495, min_x: -24217, min_y: -24244
max_x : 24561, max_y: 24490, min_x: -24212, min_y: -24239
max_x : 24556, max_y: 24485, min_x: -24207, min_y: -24234
max_x : 24551, max_y: 24480, min_x: -24202, min_y: -24229
max_x : 24546, max_y: 24475, min_x: -24197, min_y: -24224
max_x : 24541, max_y: 24470, min_x: -24192, min_y: -24219
max_x : 24536, max_y: 24465, min_x: -24187, min_y: -24214
max_x : 24531, max_y: 24460, min_x: -24182, min_y: -24209
max_x : 24526, max_y: 24455, min_x: -24177, min_y: -24204
max_x : 24521, max_y: 24450, min_x: -24172, min_y: -24199
max_x : 24516, max_y: 24445, min_x: -24167, min_y: -24194
max_x : 24511, max_y: 24440, min_x: -24162, min_y: -24189
max_x : 24506, max_y: 24435, min_x: -24157, min_y: -24184
max_x : 24501, max_y: 24430, min_x: -24152, min_y: -24179
max_x : 24496, max_y: 24425, min_x: -24147, min_y: -24174
max_x : 24491, max_y: 24420, min_x: -24142, min_y: -24169
max_x : 24486, max_y: 24415, min_x: -24137, min_y: -24164
max_x : 24481, max_y: 24410, min_x: -24132, min_y: -24159
max_x : 24476, max_y: 24405, min_x: -24127, min_y: -24154
max_x : 24471, max_y: 24400, min_x: -24122, min_y: -24149
max_x : 24466, max_y: 24395, min_x: -24117, min_y: -24144
max_x : 24461, max_y: 24390, min_x: -24112, min_y: -24139
max_x : 24456, max_y: 24385, min_x: -24107, min_y: -24134
max_x : 24451, max_y: 24380, min_x: -24102, min_y: -24129
max_x : 24446, max_y: 24375, min_x: -24097, min_y: -24124
max_x : 24441, max_y: 24370, min_x: -24092, min_y: -24119
max_x : 24436, max_y: 24365, min_x: -24087, min_y: -24114
max_x : 24431, max_y: 24360, min_x: -24082, min_y: -24109
max_x : 24426, max_y: 24355, min_x: -24077, min_y: -24104
max_x : 24421, max_y: 24350, min_x: -24072, min_y: -24099
max_x : 24416, max_y: 24345, min_x: -24067, min_y: -24094
max_x : 24411, max_y: 24340, min_x: -24062, min_y: -24089
max_x : 24406, max_y: 24335, min_x: -24057, min_y: -24084
max_x : 24401, max_y: 24330, min_x: -24052, min_y: -24079
max_x : 24396, max_y: 24325, min_x: -24047, min_y: -24074
max_x : 24391, max_y: 24320, min_x: -24042, min_y: -24069
max_x : 24386, max_y: 24315, min_x: -24037, min_y: -24064
max_x : 24381, max_y: 24310, min_x: -24032, min_y: -24059
max_x : 24376, max_y: 24305, min_x: -24027, min_y: -24054
max_x : 24371, max_y: 24300, min_x: -24022, min_y: -24049
max_x : 24366, max_y: 24295, min_x: -24017, min_y: -24044
max_x : 24361, max_y: 24290, min_x: -24012, min_y: -24039
max_x : 24356, max_y: 24285, min_x: -24007, min_y: -24034
max_x : 24351, max_y: 24280, min_x: -24002, min_y: -24029
max_x : 24346, max_y: 24275, min_x: -23997, min_y: -24024
max_x : 24341, max_y: 24270, min_x: -23992, min_y: -24019
max_x : 24336, max_y: 24265, min_x: -23987, min_y: -24014
max_x : 24331, max_y: 24260, min_x: -23982, min_y: -24009
max_x : 24326, max_y: 24255, min_x: -23977, min_y: -24004
max_x : 24321, max_y: 24250, min_x: -23972, min_y: -23999
max_x : 24316, max_y: 24245, min_x: -23967, min_y: -23994
max_x : 24311, max_y: 24240, min_x: -23962, min_y: -23989
max_x : 24306, max_y: 24235, min_x: -23957, min_y: -23984
max_x : 24301, max_y: 24230, min_x: -23952, min_y: -23979
max_x : 24296, max_y: 24225, min_x: -23947, min_y: -23974
max_x : 24291, max_y: 24220, min_x: -23942, min_y: -23969
max_x : 24286, max_y: 24215, min_x: -23937, min_y: -23964
max_x : 24281, max_y: 24210, min_x: -23932, min_y: -23959
max_x : 24276, max_y: 24205, min_x: -23927, min_y: -23954
max_x : 24271, max_y: 24200, min_x: -23922, min_y: -23949
max_x : 24266, max_y: 24195, min_x: -23917, min_y: -23944
max_x : 24261, max_y: 24190, min_x: -23912, min_y: -23939
max_x : 24256, max_y: 24185, min_x: -23907, min_y: -23934
max_x : 24251, max_y: 24180, min_x: -23902, min_y: -23929
max_x : 24246, max_y: 24175, min_x: -23897, min_y: -23924
max_x : 24241, max_y: 24170, min_x: -23892, min_y: -23919
max_x : 24236, max_y: 24165, min_x: -23887, min_y: -23914
max_x : 24231, max_y: 24160, min_x: -23882, min_y: -23909
max_x : 24226, max_y: 24155, min_x: -23877, min_y: -23904
max_x : 24221, max_y: 24150, min_x: -23872, min_y: -23899
max_x : 24216, max_y: 24145, min_x: -23867, min_y: -23894
max_x : 24211, max_y: 24140, min_x: -23862, min_y: -23889
max_x : 24206, max_y: 24135, min_x: -23857, min_y: -23884
max_x : 24201, max_y: 24130, min_x: -23852, min_y: -23879
max_x : 24196, max_y: 24125, min_x: -23847, min_y: -23874
max_x : 24191, max_y: 24120, min_x: -23842, min_y: -23869
max_x : 24186, max_y: 24115, min_x: -23837, min_y: -23864
max_x : 24181, max_y: 24110, min_x: -23832, min_y: -23859
max_x : 24176, max_y: 24105, min_x: -23827, min_y: -23854
max_x : 24171, max_y: 24100, min_x: -23822, min_y: -23849
max_x : 24166, max_y: 24095, min_x: -23817, min_y: -23844
max_x : 24161, max_y: 24090, min_x: -23812, min_y: -23839
max_x : 24156, max_y: 24085, min_x: -23807, min_y: -23834
max_x : 24151, max_y: 24080, min_x: -23802, min_y: -23829
max_x : 24146, max_y: 24075, min_x: -23797, min_y: -23824
max_x : 24141, max_y: 24070, min_x: -23792, min_y: -23819
max_x : 24136, max_y: 24065, min_x: -23787, min_y: -23814
max_x : 24131, max_y: 24060, min_x: -23782, min_y: -23809
max_x : 24126, max_y: 24055, min_x: -23777, min_y: -23804
max_x : 24121, max_y: 24050, min_x: -23772, min_y: -23799
max_x : 24116, max_y: 24045, min_x: -23767, min_y: -23794
max_x : 24111, max_y: 24040, min_x: -23762, min_y: -23789
max_x : 24106, max_y: 24035, min_x: -23757, min_y: -23784
max_x : 24101, max_y: 24030, min_x: -23752, min_y: -23779
max_x : 24096, max_y: 24025, min_x: -23747, min_y: -23774
max_x : 24091, max_y: 24020, min_x: -23742, min_y: -23769
max_x : 24086, max_y: 24015, min_x: -23737, min_y: -23764
max_x : 24081, max_y: 24010, min_x: -23732, min_y: -23759
max_x : 24076, max_y: 24005, min_x: -23727, min_y: -23754
max_x : 24071, max_y: 24000, min_x: -23722, min_y: -23749
max_x : 24066, max_y: 23995, min_x: -23717, min_y: -23744
max_x : 24061, max_y: 23990, min_x: -23712, min_y: -23739
max_x : 24056, max_y: 23985, min_x: -23707, min_y: -23734
max_x : 24051, max_y: 23980, min_x: -23702, min_y: -23729
max_x : 24046, max_y: 23975, min_x: -23697, min_y: -23724
max_x : 24041, max_y: 23970, min_x: -23692, min_y: -23719
max_x : 24036, max_y: 23965, min_x: -23687, min_y: -23714
max_x : 24031, max_y: 23960, min_x: -23682, min_y: -23709
max_x : 24026, max_y: 23955, min_x: -23677, min_y: -23704
max_x : 24021, max_y: 23950, min_x: -23672, min_y: -23699
max_x : 24016, max_y: 23945, min_x: -23667, min_y: -23694
max_x : 24011, max_y: 23940, min_x: -23662, min_y: -23689
max_x : 24006, max_y: 23935, min_x: -23657, min_y: -23684
max_x : 24001, max_y: 23930, min_x: -23652, min_y: -23679
max_x : 23996, max_y: 23925, min_x: -23647, min_y: -23674
max_x : 23991, max_y: 23920, min_x: -23642, min_y: -23669
max_x : 23986, max_y: 23915, min_x: -23637, min_y: -23664
max_x : 23981, max_y: 23910, min_x: -23632, min_y: -23659
max_x : 23976, max_y: 23905, min_x: -23627, min_y: -23654
max_x : 23971, max_y: 23900, min_x: -23622, min_y: -23649
max_x : 23966, max_y: 23895, min_x: -23617, min_y: -23644
max_x : 23961, max_y: 23890, min_x: -23612, min_y: -23639
max_x : 23956, max_y: 23885, min_x: -23607, min_y: -23634
max_x : 23951, max_y: 23880, min_x: -23602, min_y: -23629
max_x : 23946, max_y: 23875, min_x: -23597, min_y: -23624
max_x : 23941, max_y: 23870, min_x: -23592, min_y: -23619
max_x : 23936, max_y: 23865, min_x: -23587, min_y: -23614
max_x : 23931, max_y: 23860, min_x: -23582, min_y: -23609
max_x : 23926, max_y: 23855, min_x: -23577, min_y: -23604
max_x : 23921, max_y: 23850, min_x: -23572, min_y: -23599
max_x : 23916, max_y: 23845, min_x: -23567, min_y: -23594
max_x : 23911, max_y: 23840, min_x: -23562, min_y: -23589
max_x : 23906, max_y: 23835, min_x: -23557, min_y: -23584
max_x : 23901, max_y: 23830, min_x: -23552, min_y: -23579
max_x : 23896, max_y: 23825, min_x: -23547, min_y: -23574
max_x : 23891, max_y: 23820, min_x: -23542, min_y: -23569
max_x : 23886, max_y: 23815, min_x: -23537, min_y: -23564
max_x : 23881, max_y: 23810, min_x: -23532, min_y: -23559
max_x : 23876, max_y: 23805, min_x: -23527, min_y: -23554
max_x : 23871, max_y: 23800, min_x: -23522, min_y: -23549
max_x : 23866, max_y: 23795, min_x: -23517, min_y: -23544
max_x : 23861, max_y: 23790, min_x: -23512, min_y: -23539
max_x : 23856, max_y: 23785, min_x: -23507, min_y: -23534
max_x : 23851, max_y: 23780, min_x: -23502, min_y: -23529
max_x : 23846, max_y: 23775, min_x: -23497, min_y: -23524
max_x : 23841, max_y: 23770, min_x: -23492, min_y: -23519
max_x : 23836, max_y: 23765, min_x: -23487, min_y: -23514
max_x : 23831, max_y: 23760, min_x: -23482, min_y: -23509
max_x : 23826, max_y: 23755, min_x: -23477, min_y: -23504
max_x : 23821, max_y: 23750, min_x: -23472, min_y: -23499
max_x : 23816, max_y: 23745, min_x: -23467, min_y: -23494
max_x : 23811, max_y: 23740, min_x: -23462, min_y: -23489
max_x : 23806, max_y: 23735, min_x: -23457, min_y: -23484
max_x : 23801, max_y: 23730, min_x: -23452, min_y: -23479
max_x : 23796, max_y: 23725, min_x: -23447, min_y: -23474
max_x : 23791, max_y: 23720, min_x: -23442, min_y: -23469
max_x : 23786, max_y: 23715, min_x: -23437, min_y: -23464
max_x : 23781, max_y: 23710, min_x: -23432, min_y: -23459
max_x : 23776, max_y: 23705, min_x: -23427, min_y: -23454
max_x : 23771, max_y: 23700, min_x: -23422, min_y: -23449
max_x : 23766, max_y: 23695, min_x: -23417, min_y: -23444
max_x : 23761, max_y: 23690, min_x: -23412, min_y: -23439
